ID,Name,Action
1,Startup A,Pass
2,Startup B,Interested
3,Startup C,Meet
CarbonBridge Inc. ,https://carbonbridge.io,"CarbonBridge (an ARPAe awardee) converts methane to methanol, using microbes in a proprietary bioreactor with a direct-gas system for mass transfer without bubbles, pressure, agitators, etc.  This delivers the lowest carbon-intensity methanol at the lowest cost. ",United States,Pre-seed,"ARPA-e (non dilutive), SOSV, Techstars, Santa Clara University Bronco Fund",https://carbonbridge.io,$350K,https://sosv.world/ZUU79h,Pass
Carbon Reform,https://www.carbonreform.com/,"Carbon Reform is creating novel hardware, materials, and software solutions to decarbonize the built environment, focusing on energy savings and indoor air quality.",United States,Seed,"Azolla Ventures, Rise of the Rest, Plug and Play, Gaingels",https://www.carbonreform.com/,$8M,https://sosv.world/0rtlVt,Pass
GoPlugable,https://goplugable.com/,an airbnb for private EV charging for business and homes creating community powered bookable slow EV charging network,United Kingdom,Pre-seed,,https://goplugable.com/,$600K,https://sosv.world/QOvjYq,Interested
GoPlugable,https://goplugable.com/,an airbnb for private EV charging for homes and business creating a network of slow bookable community powered EV charging network,Ireland {Republic},Pre-seed,,https://goplugable.com/,$600K,,Meet
"EDAC Labs, Inc.",www.edaclabs.com,EDAC Labs has achieved a fundamental breakthrough in the production of acid and base enabling critical mineral extraction with gigaton-scale carbon removal and industrial decarbonization.  It is the Archimedes lever for battling global climate change. ,United States,Series A,Grantham,https://www.edaclabs.com,$15M,,Pass
Hydronos Labs,https://www.hydronoslabs.com,"Hydronos Labs is a Princeton research spinout. A next generation climate hazard risk-as-a-service platform - superior in cost, transparency and ease of use enabling rapid solution development in many verticals; POCs include flood history underwriting and wildfire risk to supermarket inventory",United States,Seed,Union Atlantic Ventures,https://www.hydronoslabs.com,$750K,https://sosv.world/o6Hv3n,Meet
Rare Flora,https://www.rareflora.bio/,We are plant scientists trailblazing the phytomining industry. ,United States,Pre-seed,,https://www.rareflora.bio/,$1M,https://sosv.world/OwsMQx,Interested
Elpida Research INC ,https://elpidaresearchincdoctordigitalplant.shop/home-2,"Elpida Research is a biotech company specialized in production of innovative plant vaccine solution address to environment, clean water, clean city, transportation, waste management, hospitals, health, biotechnology and agri-food market, with great implication in reducing GHG emission,foot print. ",Romania,Series A,"Al Saqar Middle East Investment PSC, Abu Dhabi, UAE. ",https://elpidaresearchincdoctordigitalplant.shop/home-2,$200K,https://sosv.world/6z5oXF,Pass
Birch Biosciences,www.birchbiosciences.com,"Birch Biosciences is engineering an enzymatic plastic recycling process that improves the economics, sustainability, and circularity of plastic recycling.",United States,Series A,"Y combinator, Liquid 2 Ventures, Pioneer Fund, Climate Capital",https://www.birchbiosciences.com,$14M,,Meet
Vertical On-Demand ,www.verticalondemand.com,Vertical On-Demand is an Artificial Intelligence and Machine Learning (AI/ML) enabled subscription-based platform and manufacturer for eCommerce brands and retailers that makes apparel on-demand. ,United States,Seed,Pipeline Angels,https://www.verticalondemand.com,$3M,https://sosv.world/kJeVWb,Meet
Nurtur ,https://nurtur.earth/,Nurturâ€™s Sustainability Intelligence software makes decarbonization a profit center for the underserved $1.2T Sports and Entertainment market. Sustainability Intelligence delivers AI-based insights and real-time tracking while solving 2 essential problems - data automation and fan engagement.,United States,Pre-seed,,https://nurtur.earth/,$2M,,Meet
Sea-Up,www.sea-up.life,We do mCDR. Differently.,United States,Seed,N/A,https://www.sea-up.life,$3M,https://sosv.world/57Vafq,Meet
Mouse Keyboard Pyramids MKP,https://github.com/serge-scl/mini-keyboard.git ,More free space on your desk. The usual push-button keyboard is gone. This  computer mouse with  full keyboard. And it's even better than the usual keyboard. Because learning  touch-type is almost easy as learning to use  mouse. ,Russian Federation,Pre-seed,,https://github.com/serge-scl/mini-keyboard.git ,$70K,https://sosv.world/muBiwg,Pass
